name,shopType,district,status,address,lat,lon,number,state_code
鼎順服裝行,cloth,萬華區,核准設立,艋舺大道89號1樓,25.0337927,121.5027943,15868922,553626919
加美服裝行,cloth,萬華區,核准設立,西園路1段282巷20之2號,25.0335759,121.498725,15962721,553626917
心雅服裝行,cloth,萬華區,核准設立,艋舺大道176號,25.0328035,121.5007632,15995103,553526915
茱麗葉皮鞋店,cloth,中正區,核准設立,沅陵街20之1號1樓,25.042727,121.512415,17080604,553826943
琇琳服飾店,cloth,內湖區,核准設立,東湖路33巷24號,25.0696897,121.613088,17081821,554427022
可思蒂服飾行,cloth,大安區,核准設立,仁愛路4段151巷20號,25.039771,121.5517009,17084860,553726945
秘密花園服飾店,cloth,大安區,核准設立,永康街11之3號,25.032719,121.529882,17262604,553526922
佼腳者皮鞋店,cloth,萬華區,核准設立,康定路314號,25.0359285,121.5012345,17266876,553626924
天美服飾店,cloth,信義區,核准設立,永吉路443巷5弄20號,25.046133,121.578715,17272976,553826966
比太司服飾行,cloth,信義區,核准設立,松山路119巷31號1樓,25.047554,121.579754,17518182,553926970
方登服飾名店,cloth,中正區,核准設立,羅斯福路4段44號1樓,25.0151759,121.533635,17530714,553226871
貨櫃蕃服飾行,cloth,信義區,核准設立,松山路119巷17弄18號,25.0476749,121.579919,17532234,553926970
周黃春滿服飾店,cloth,信義區,核准設立,永吉路443巷13弄17號,25.047125,121.579086,17532380,553926969
五九九服飾店,cloth,信義區,核准設立,永吉路443巷62號,25.047297,121.578262,17532591,553926969
卡蜜兒服飾,cloth,信義區,核准設立,永吉路443巷13弄19號,25.04714,121.57912,17533162,553926969
海帥童裝行,cloth,信義區,核准設立,永吉路494號,25.045169,121.57944,17533249,553826964
童顏本色童裝行,cloth,信義區,核准設立,永吉路514號1樓,25.0452778,121.5801453,17533536,553826965
富琦服飾行,cloth,南港區,核准設立,忠孝東路6段81巷18號,25.0480943,121.5840308,17550491,553926972
衣鑽服飾批發行,cloth,信義區,核准設立,松山路119巷5號,25.047553,121.578591,18089934,553926970
晶彩禮服攝影社,cloth,松山區,核准設立,延壽街11號,25.0573852,121.5686002,18102850,554126989
讚全服飾店,cloth,松山區,核准設立,民生東路5段125號1樓,25.0588716,121.5611145,18408661,554126990
金樺蒂時尚鞋坊,cloth,松山區,核准設立,八德路3段12巷70弄14號2樓,25.045407,121.5501232,18456298,553826958
衣景企業行,cloth,中山區,核准設立,中山北路1段53巷8號7樓之12,25.0491195,121.522133,18466211,553926961
名嬅精品服飾店,cloth,大安區,核准設立,大安路2段35號,25.0318839,121.5461662,19873807,553526923
伊吉米多服裝設計工作室,cloth,大安區,核准設立,忠孝東路3段248巷7弄12號1樓,25.0410205,121.5421945,20480029,553726946
宣宣服飾店,cloth,信義區,核准設立,光復南路419巷146號光復公有市場1樓12號攤位,25.0363471,121.56047759999998,20957706,553626938
聯合室內裝修業,cloth,松山區,核准設立,民生東路5段36巷4弄10號1樓,25.0577947,121.559498,21256169,554126988
漪淋服飾店,cloth,萬華區,核准設立,廣州街222號1樓,25.0366928,121.4969691,21700612,553626925
裘利安服飾店,cloth,內湖區,核准設立,成功路4段182巷6弄53號1樓,25.0831624,121.5926215,21704413,554727038
源芝服飾精品店,cloth,萬華區,核准設立,三水街82號1樓,25.0360459,121.50095,21706051,553626924
優雅服飾店,cloth,萬華區,核准設立,三水街82號1樓,25.0360459,121.50095,21706159,553626924
天琪服飾店,cloth,萬華區,核准設立,三水街86號1樓,25.0360664,121.5008051,21708327,553626924
苑蘋服飾店,cloth,萬華區,核准設立,三水街78號1樓,25.0360049,121.5015546,21708332,553626924
三友屋舶來精品服飾店,cloth,大同區,核准設立,重慶北路1段22號1樓,25.0530893,121.5148252,21709439,554026968
錄錄服飾行,cloth,士林區,核准設立,大南路20號1樓,25.0891228,121.5258478,21709780,554827030
雅格精品服飾店,cloth,大安區,核准設立,忠孝東路4段155號10樓之9,25.0417426,121.5500104,21710153,553726949
奇利內衣精品商店,cloth,中山區,核准設立,民權東路2段105號1樓,25.0627084,121.532688,21711076,554226991
冠佑服飾精品店,cloth,大安區,核准設立,光復南路180巷5號,25.0423006,121.556882,21721638,553826952
禾青晚宴服名店,cloth,中山區,核准設立,中山北路2段170號1樓,25.0635527,121.5222178,21725851,554226990
美兒精品服飾店,cloth,信義區,核准設立,文昌街320號1樓,25.0321227,121.5579844,21725888,553526926
自由自在服飾行,cloth,中正區,核准設立,信義路2段57號1樓,25.034844,121.526088,21726401,553626927
廣盛益服裝行,cloth,信義區,核准設立,松山路119巷18號,25.047312,121.579102,21730860,553926969
精品飾品店,cloth,大同區,核准設立,重慶北路1段27巷15號,25.0501478,121.51408290000002,21732311,553926961
維欣服飾店,cloth,北投區,核准設立,中央北路1段183號1樓,25.135657,121.497827,21738292,555827050
鑽石大象衣舖,cloth,萬華區,核准設立,西寧南路72之1號2樓,25.043239,121.5059649,21740656,553826943
翔琪服飾精品店,cloth,萬華區,核准設立,西寧南路72之1號,25.043239,121.5059649,21754601,553826943
時代服飾行,cloth,大同區,核准設立,太原路11巷11號,25.0496721,121.5155895,21755762,553926960
茉莉服飾店,cloth,松山區,核准設立,八德路3段12巷51弄31號1樓,25.0462649,121.5521338,21757109,553826961
奇倫服飾店,cloth,萬華區,核准設立,西寧南路48之3號,25.044379,121.506273,21758058,553826946
佳峰服飾店,cloth,信義區,核准設立,忠孝東路5段390號1樓,25.040729,121.574335,21758064,553726952
明隆服飾材料行,cloth,大同區,核准設立,承德路2段175巷3號1樓,25.058891,121.5186968,21761899,554126981
芭芭兒服飾店,cloth,中山區,核准設立,四平街55號1樓,25.0537685,121.53352209999998,21764538,554026973
嘉泰精品服飾行,cloth,中正區,核准設立,濟南路2段71之1號1樓,25.04037730000001,121.5324292,21765001,553726942
玉成鞋店,cloth,南港區,核准設立,南港路3段358號玉成公有市場第1號攤位,25.05411,121.5911219,24014807,554026987
吉茂服飾材料社,cloth,大同區,核准設立,南京西路167巷11號,25.0551032,121.51269170000002,25502775,554026972
頂好國際衣飾店,cloth,信義區,核准設立,松山路119巷30號,25.047302,121.579547,25504099,553926969
安尼童屋,cloth,中山區,核准設立,四平街55號,25.0537685,121.53352209999998,25509670,554026973
分享服飾店,cloth,大安區,核准設立,大安路1段75巷1號,25.0398967,121.5458369,25511893,553726944
衣帽間流行工作室,cloth,中山區,核准設立,中山北路2段170號8樓,25.0635527,121.5222178,25517242,554226990
宏雅服裝行,cloth,南港區,核准設立,玉成街52巷16號2樓,25.047706,121.580886,25518798,553926970
汶洋服飾行,cloth,中山區,核准設立,林森北路275號,25.05525230000001,121.5255791,25521750,554026975
織苑精品服裝店,cloth,中正區,核准設立,南昌路1段29號,25.0318342,121.5169174,25521885,553526916
美樂豬的幸福城堡服飾店,cloth,萬華區,核准設立,成都路81號7樓之2,25.043089,121.505268,25522809,553826943
豐麗服飾精品店,cloth,士林區,核准設立,中山北路5段531號1樓,25.0942275,121.527856,25533088,554927036
榕榕服飾行,cloth,中山區,核准設立,中山北路3段15之19號,25.0650409,121.522767,25533828,554326993
時尚女王童裝精品館,cloth,大安區,核准設立,忠孝東路4段216巷29號(A舖),25.0396289,121.5529531,25534447,553726945
大廷四季風流行飾品行,cloth,大同區,核准設立,重慶北路1段15巷9號,25.0501095,121.5139425,25539029,553926961
零柒參壹服飾店,cloth,大安區,核准設立,忠孝東路4段148號8樓,25.0413537,121.54973400000002,25539288,553726948
富旺服飾行,cloth,士林區,核准設立,忠誠路2段10巷21號,25.1089358,121.52892079999998,25539724,555227049
金肥嘴衣櫃企業社,cloth,萬華區,核准設立,西寧南路72之1號3樓,25.043239,121.5059649,25540567,553826943
妍園服飾精品店,cloth,文山區,核准設立,木柵路1段206號,24.9877895,121.55313429999998,25542740,552526778
皮克尼克服飾行,cloth,大安區,核准設立,泰順街40巷15號之3,25.0244169,121.530326,25543494,553426898
寶參飾品行,cloth,大同區,核准設立,太原路18號,25.0498093,121.5149545,25543874,553926961
聰明飾品行,cloth,大同區,核准設立,鄭州路29巷4之1號,25.05001,121.514297,25544374,553926961
金紅服飾店,cloth,文山區,核准設立,景文街5號,24.9932,121.5415695,25545155,552726796
緹安娜服飾店,cloth,中山區,核准設立,南京東路2段115巷18之1號,25.053183,121.533522,25546366,554026972
梨花服飾精品店,cloth,大安區,核准設立,師大路49巷13號,25.0243987,121.5292909,25546387,553426898
依縈服裝材料行,cloth,大同區,核准設立,南京西路185巷30號1樓,25.0550655,121.51253529999998,25547772,554026971
花劇服裝設計室,cloth,大同區,核准設立,承德路2段173號,25.0587459,121.518492,25547885,554126980
泰瑞莎衣坊,cloth,大安區,核准設立,延吉街126巷14號1樓,25.0402243,121.5543624,25549271,553726947
莎黛服飾名店,cloth,大安區,核准設立,敦化南路1段177巷43號,25.043095,121.55158059999998,25549292,553826953
紫瀅服裝行,cloth,萬華區,核准設立,和平西路3段102之1號,25.0350757,121.5007616,25549413,553626922
衣櫃服飾精品店,cloth,中山區,核准設立,長安西路19巷2弄25號,25.051098,121.520427,25551249,554026965
可臻服裝行,cloth,信義區,核准設立,中坡北路15巷4號,25.0448079,121.580628,25552303,553826964
廉行服飾店,cloth,萬華區,核准設立,西園路1段220巷2號,25.0348664,121.4976184,25553529,553626920
鼎好服裝行,cloth,萬華區,核准設立,西園路1段173號,25.0347223,121.4994934,25553801,553626920
安琦妮服飾行,cloth,大安區,核准設立,信義路4段58之1號,25.0330113,121.5454284,25555272,553626926
十五服飾店,cloth,士林區,核准設立,大東路18之2號,25.0885685,121.52516640000002,25555414,554827029
華漾服飾行,cloth,中正區,核准設立,寧波西街39號,25.0310562,121.5179631,25555478,553526915
樺榮服飾行,cloth,萬華區,核准設立,西寧南路72之1號3樓(11室),25.043239,121.5059649,25555765,553826943
金鑽服飾店,cloth,中正區,核准設立,羅斯福路1段44號,25.0310653,121.5192478,25555929,553526915
俏咪內衣店,cloth,松山區,核准設立,南京東路5段123巷15號,25.0523785,121.5607311,25556048,554026976
路西斐爾飾品行,cloth,松山區,核准設立,復興北路201號12樓之1,25.055759100000003,121.544358,25556716,554126980
賢洋衣飾商行,cloth,大安區,核准設立,大安路1段59號,25.0428695,121.5463485,25559018,553826951
嗎納服飾精品店,cloth,大安區,核准設立,敦化南路1段161巷56號,25.043358,121.5517601,25559349,553826954
云怡精品服飾坊,cloth,大安區,核准設立,大安路1段51巷33號,25.043225,121.547623,25560330,553826953
三弘服飾企業社,cloth,大安區,核准設立,復興南路1段135巷19號,25.0427599,121.5451852,25560958,553826951
鐵皮兔服飾店,cloth,大安區,核准設立,泰順街40巷21號,25.0244167,121.5300518,25561128,553426898
宇騏男女精品服飾店,cloth,大安區,核准設立,通化街149號1樓,25.0287378,121.5540211,25561984,553526916
金蔓谷服裝行,cloth,萬華區,核准設立,康定路352號,25.0347862,121.5010306,25562800,553626921
寶利亞精品服飾行,cloth,中正區,核准設立,沅陵街9號,25.042886,121.51233700000002,25562978,553826944
家如服飾行,cloth,文山區,核准設立,景文街91號1樓,24.991033,121.541392,25563532,552626788
新悅服飾行,cloth,大安區,核准設立,仁愛路4段439號,25.0380439,121.5568675,25563961,553726942
吉麗服裝行,cloth,信義區,核准設立,永吉路443巷13弄5號,25.047137,121.578614,25564482,553926969
卡布奈特席琳服飾精品店,cloth,大安區,核准設立,敦化南路1段160巷37號,25.04365180000001,121.5471415,25565378,553826953
翔鳳服飾精品店,cloth,信義區,核准設立,吳興街103之1號,25.018528,121.572007,25567039,553226890
歆裳時裝號,cloth,士林區,核准設立,華榮街31號,25.0958305,121.5234298,25567170,554927037
義佳服飾店,cloth,萬華區,核准設立,中華路1段114巷4號之2,25.0438189,121.508059,25568683,553826945
愛禾寢飾居家生活館,cloth,中山區,核准設立,新生北路2段76巷28號,25.05742780000001,121.5265886,25569389,554126979
麗地亞飾品行,cloth,大同區,核准設立,重慶北路1段26巷9弄8號,25.0509933,121.5131506,25569472,553926963
依殿服飾,cloth,士林區,核准設立,忠誠路2段130巷8號1樓,25.1141242,121.5315844,25569661,555327053
克洛士服飾店,cloth,大同區,核准設立,昌吉街36號,25.065765,121.5169924,25570111,554326993
強力服裝行,cloth,士林區,核准設立,延平北路5段245巷3號1樓,25.0845827,121.50943490000002,25570251,554727021
路卡兒精品飾品館,cloth,中山區,核准設立,四平街55號,25.0537685,121.53352209999998,25571131,554026973
文浩服飾坊,cloth,萬華區,核准設立,西寧南路50巷13之1號、15號,25.0444573,121.5055331,25571337,553826946
錸宣服飾精品店,cloth,大安區,核准設立,敦化南路1段161巷11號,25.0436463,121.5498605,25571483,553826954
田園衣家小舖,cloth,北投區,核准設立,中央南路1段50號,25.1321199,121.5012864,25571879,555727051
古飾洋行,cloth,大安區,核准設立,大安路1段31巷19號,25.0440521,121.5471616,25572075,553826954
非絲服飾店,cloth,大安區,核准設立,敦化南路1段161巷20號,25.0434115,121.5501221,25572292,553826954
新立騰服裝製作工作室,cloth,萬華區,核准設立,西寧南路36號2樓之118,25.0452425,121.5064943,25572477,553826948
永錡服飾行,cloth,中正區,核准設立,武昌街1段22巷22號,25.0433289,121.512201,25572814,553826945
俏米服飾店,cloth,中山區,核准設立,林森北路50號11樓,25.0484947,121.5242467,25572976,553926960
全鑫精品服飾行,cloth,士林區,核准設立,德行東路257號5樓,25.109945,121.5348205,25573412,555327051
衣公主服飾精品店,cloth,大同區,核准設立,天水路7號,25.0535539,121.51398629999998,25573763,554026969
艾美琳服裝行,cloth,萬華區,核准設立,康定路336號3樓,25.0354328,121.5011591,25574427,553626923
欣穎韓國服飾精品行,cloth,大安區,核准設立,忠孝東路4段49巷8號,25.0428429,121.545384,25575360,553826951
妮娜服飾店,cloth,大安區,核准設立,臨江街59號,25.0300216,121.5556137,25577634,553526920
婕思服飾精品館,cloth,大安區,核准設立,忠孝東路4段201號1樓,25.0416768,121.551655,25578958,553726950
楹仟精品服飾行,cloth,大安區,核准設立,延吉街164之2號,25.0390514,121.554942,25579859,553726944
嗎集服飾精品店,cloth,士林區,核准設立,中山北路7段37號1樓,25.1195593,121.5306825,25580650,555527055
奇蹟皮飾精品名店,cloth,大安區,核准設立,忠孝東路4段216巷18號,25.0404734,121.5527779,25582833,553726947
勤美服飾行,cloth,信義區,核准設立,永吉路491巷7弄31號,25.046416,121.57982,25583592,553826967
佩蒂服飾行,cloth,南港區,核准設立,中坡北路40巷1號,25.0461887,121.5808974,25586556,553826967
朝陽鞋店,cloth,松山區,核准設立,南京東路3段305號7樓,25.052009,121.546818,25586710,554026973
洗遍天下洗鞋店,cloth,內湖區,核准設立,民權東路6段84號,25.0687141,121.58574070000002,25586747,554327014
允圓服裝行,cloth,萬華區,核准設立,大理街54之1號1樓,25.034358,121.4990339,25597370,553626919
艾蕎安精品服飾店,cloth,中正區,核准設立,羅斯福路1段8號公有南門市場2樓238號百貨攤位,25.0203177,121.5285068,25600591,553326886
萊斯米網路服飾商行,cloth,信義區,核准設立,吳興街284巷22弄91號2樓,25.023048,121.561068,25612273,553326901
京萱服飾,cloth,萬華區,核准設立,峨眉街42號,25.043555,121.506441,25615905,553826944
艾之屋服飾店,cloth,中正區,核准設立,金山南路1段108之2號,25.0353702,121.5272768,25630217,553626928
慶浩服飾坊,cloth,萬華區,核准設立,西寧南路70號2樓之1,25.0435081,121.505886,25654441,553826944
啟典服飾店,cloth,大安區,核准設立,復興南路1段91號,25.0441441,121.5440586,25654532,553826954
迪亞姿精品服飾行,cloth,士林區,核准設立,社中街166號1樓,25.0908263,121.50930420000002,25654717,554827029
丹迪服飾店,cloth,北投區,核准設立,永興路1段54號,25.139498,121.50073799999998,25654955,555927050
追勢可得服飾店,cloth,大安區,核准設立,光復南路290巷68號1樓,25.0394462,121.5551691,25655080,553726945
鼎欣服飾精品坊,cloth,中正區,核准設立,羅斯福路4段52巷8號1樓,25.0147594,121.5337102,25655194,553126870
大利時裝店,cloth,萬華區,核准設立,長順街89巷3號,25.031704,121.490466,25655547,553526910
瑜瑄服飾精品店,cloth,萬華區,核准設立,西寧南路72之1號4樓,25.043239,121.5059649,25655602,553826943
鏵芳服飾行,cloth,萬華區,核准設立,萬大路480號1樓,25.019851899999995,121.497398,25656089,553326877
水漾服飾行,cloth,大同區,核准設立,重慶北路1段1號地下,25.0528239,121.515048,25656433,554026967
名曜衣著店,cloth,大安區,核准設立,師大路87號,25.0232307,121.5285488,25656638,553326895
南米國服飾精品店,cloth,大同區,核准設立,赤峰街17巷13號1樓,25.053773,121.519817,25657307,554026970
俊達服裝行,cloth,萬華區,核准設立,大理街92號1樓,25.0342225,121.4982135,25658039,553626919
雅妍服飾精品店,cloth,大安區,核准設立,羅斯福路3段251之1號,25.019207,121.530162,25658713,553226883
大統西服店,cloth,士林區,核准設立,大西路39號,25.09081,121.524424,25658777,554827032
衣紡商行,cloth,內湖區,核准設立,陽光街321巷26號5樓之10,25.072293,121.5785839,25659706,554427018
上妮雅精品服飾店,cloth,大安區,核准設立,忠孝東路4段101巷25號,25.0428737,121.5482112,25660133,553826952
仙人掌精品服飾,cloth,萬華區,核准設立,西寧南路72之1號3樓,25.043239,121.5059649,25660387,553826943
天行精品服飾商行,cloth,萬華區,核准設立,峨眉街68號,25.0440109,121.504518,25660751,553826945
潔西精品服飾店,cloth,文山區,核准設立,萬美街1段19巷2號2樓,25.0016339,121.562597,25661082,552926832
永麗服裝修改店,cloth,大安區,核准設立,大安路1段51巷36之1號,25.042967,121.547586,25661098,553826952
大來舞蹈服裝工作室,cloth,中山區,核准設立,民生東路2段54號,25.0578556,121.5294567,25661793,554126981
鐘意歐洲服飾精品店,cloth,中山區,核准設立,吉林路238號,25.0594205,121.5300904,25661864,554126984
威記洋行服飾店,cloth,士林區,核准設立,大東路30之1號,25.089058,121.5252422,25662337,554827030
罌粟花園精品服飾店,cloth,松山區,核准設立,饒河街71號,25.050335,121.5732449,25662771,553926975
經緯服飾精品坊,cloth,萬華區,核准設立,西寧南路72之1號2樓,25.043239,121.5059649,25663130,553826943
樂夥精品服飾店,cloth,大同區,核准設立,南京西路25巷4之1號1樓,25.053824,121.5203104,25664026,554026971
嘉茂服裝行,cloth,萬華區,核准設立,寶興街80巷29弄1號1樓,25.0255019,121.4938467,25664692,553426894
豪奕洗衣店,cloth,南港區,核准設立,三重路67巷2弄15號,25.0599915,121.6138388,25665257,554127004
香草服飾店,cloth,大安區,核准設立,忠孝東路4段49巷4弄2號,25.0423127,121.5453295,25666489,553826950
金嘉麗服飾名店,cloth,松山區,核准設立,南京東路5段123巷15號,25.0523785,121.5607311,25669492,554026976
衣舞館服飾店,cloth,大安區,核准設立,龍泉街39號1樓,25.0240662,121.5294623,25671167,553426897
小閣樓服飾精品店,cloth,大安區,核准設立,泰順街50巷36號1樓,25.0231238,121.5294916,25673432,553326894
領飾館服飾,cloth,萬華區,核准設立,中華路1段112之1號1樓,25.0403893,121.4525666,25680686,553726924
